coreid,identifier,accessURI,thumbnailAccessURI,goodQualityAccessURI,format,type,subtype,rights,Owner,creator,UsageTerms,WebStatement,caption,comments,tag,providerManagedID,MetadataDate,associatedSpecimenReference,metadataLanguage
971299,https://api.idigbio.org/v2/media/26bab8e2f5651ad8bd570e61562db472,https://api.idigbio.org/v2/media/26bab8e2f5651ad8bd570e61562db472,https://api.idigbio.org/v2/media/26bab8e2f5651ad8bd570e61562db472?size=thumbnail,https://api.idigbio.org/v2/media/26bab8e2f5651ad8bd570e61562db472?size=webview,image/jpeg,StillImage,Photograph,http://creativecommons.org/licenses/by-nc/4.0/,"RSA - California Botanic Garden Herbarium (RSA-VascularPlants)",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,,urn:uuid:64608f59-e807-4341-8ba7-71b219ff9326,"2019-03-19 09:51:54",https://cch2.org/portal/collections/individual/index.php?occid=971299,en
1236124,https://api.idigbio.org/v2/media/d72ef0b6696f9da5d2cc66d28beb1e4b,https://api.idigbio.org/v2/media/d72ef0b6696f9da5d2cc66d28beb1e4b,https://api.idigbio.org/v2/media/d72ef0b6696f9da5d2cc66d28beb1e4b?size=thumbnail,https://api.idigbio.org/v2/media/d72ef0b6696f9da5d2cc66d28beb1e4b?size=webview,image/jpeg,StillImage,Photograph,http://creativecommons.org/licenses/by-nc/4.0/,"RSA - California Botanic Garden Herbarium (RSA-VascularPlants)",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,,urn:uuid:6b63f970-ea5e-4ae7-a87c-bdc9e6648dc2,"2019-03-20 11:33:10",https://cch2.org/portal/collections/individual/index.php?occid=1236124,en
1086880,https://api.idigbio.org/v2/media/90fcee9db09c6cc25f50091d0f2f8996,https://api.idigbio.org/v2/media/90fcee9db09c6cc25f50091d0f2f8996,https://api.idigbio.org/v2/media/90fcee9db09c6cc25f50091d0f2f8996?size=thumbnail,https://api.idigbio.org/v2/media/90fcee9db09c6cc25f50091d0f2f8996?size=webview,image/jpeg,StillImage,Photograph,http://creativecommons.org/licenses/by-nc/4.0/,"RSA - California Botanic Garden Herbarium (RSA-VascularPlants)",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,,urn:uuid:9447b4b9-4892-4b87-8240-f6441b01ea91,"2019-04-16 14:27:49",https://cch2.org/portal/collections/individual/index.php?occid=1086880,en
1086880,https://api.idigbio.org/v2/media/529260e17d95e28f9dff5142e90dbd0b,https://api.idigbio.org/v2/media/529260e17d95e28f9dff5142e90dbd0b,https://api.idigbio.org/v2/media/529260e17d95e28f9dff5142e90dbd0b?size=thumbnail,https://api.idigbio.org/v2/media/529260e17d95e28f9dff5142e90dbd0b?size=webview,image/jpeg,StillImage,Photograph,http://creativecommons.org/licenses/by-nc/4.0/,"RSA - California Botanic Garden Herbarium (RSA-VascularPlants)",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,,urn:uuid:f8a690a7-f745-4e86-bb9b-27dff0cc6213,"2019-04-16 14:27:49",https://cch2.org/portal/collections/individual/index.php?occid=1086880,en
1088871,https://api.idigbio.org/v2/media/cc95bbba0b82681a1e40fc5a0bf1623e,https://api.idigbio.org/v2/media/cc95bbba0b82681a1e40fc5a0bf1623e,https://api.idigbio.org/v2/media/cc95bbba0b82681a1e40fc5a0bf1623e?size=thumbnail,https://api.idigbio.org/v2/media/cc95bbba0b82681a1e40fc5a0bf1623e?size=webview,image/jpeg,StillImage,Photograph,http://creativecommons.org/licenses/by-nc/4.0/,"RSA - California Botanic Garden Herbarium (RSA-VascularPlants)",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,,urn:uuid:f88a5e0c-2710-41fd-b66b-f6a865c01009,"2019-04-16 14:27:49",https://cch2.org/portal/collections/individual/index.php?occid=1088871,en
960508,https://api.idigbio.org/v2/media/57c11e5c7d85d099fcbf2ad56e670f53,https://api.idigbio.org/v2/media/57c11e5c7d85d099fcbf2ad56e670f53,https://api.idigbio.org/v2/media/57c11e5c7d85d099fcbf2ad56e670f53?size=thumbnail,https://api.idigbio.org/v2/media/57c11e5c7d85d099fcbf2ad56e670f53?size=webview,image/jpeg,StillImage,Photograph,http://creativecommons.org/licenses/by-nc/4.0/,"RSA - California Botanic Garden Herbarium (RSA-VascularPlants)",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,,urn:uuid:123fa506-b356-402e-92e1-19f93839e9a8,"2019-04-16 14:27:49",https://cch2.org/portal/collections/individual/index.php?occid=960508,en
944481,https://api.idigbio.org/v2/media/b873b14baff6978597c6b867bbde06b6,https://api.idigbio.org/v2/media/b873b14baff6978597c6b867bbde06b6,https://api.idigbio.org/v2/media/b873b14baff6978597c6b867bbde06b6?size=thumbnail,https://api.idigbio.org/v2/media/b873b14baff6978597c6b867bbde06b6?size=webview,image/jpeg,StillImage,Photograph,http://creativecommons.org/licenses/by-nc/4.0/,"RSA - California Botanic Garden Herbarium (RSA-VascularPlants)",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,,urn:uuid:fa1bf4c0-ce95-4169-a4d5-540837ed08a0,"2019-04-16 14:27:49",https://cch2.org/portal/collections/individual/index.php?occid=944481,en
1035927,https://api.idigbio.org/v2/media/14db2e76cca29e47561bcc3e19d55002,https://api.idigbio.org/v2/media/14db2e76cca29e47561bcc3e19d55002,https://api.idigbio.org/v2/media/14db2e76cca29e47561bcc3e19d55002?size=thumbnail,https://api.idigbio.org/v2/media/14db2e76cca29e47561bcc3e19d55002?size=webview,image/jpeg,StillImage,Photograph,http://creativecommons.org/licenses/by-nc/4.0/,"RSA - California Botanic Garden Herbarium (RSA-VascularPlants)",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,,urn:uuid:74ee3620-bfbf-457f-abc1-3fb2a2e4befd,"2019-04-16 14:27:50",https://cch2.org/portal/collections/individual/index.php?occid=1035927,en
1228560,https://api.idigbio.org/v2/media/4d6c2bae49b96e68bcb43d32bb0f95b8,https://api.idigbio.org/v2/media/4d6c2bae49b96e68bcb43d32bb0f95b8,https://api.idigbio.org/v2/media/4d6c2bae49b96e68bcb43d32bb0f95b8?size=thumbnail,https://api.idigbio.org/v2/media/4d6c2bae49b96e68bcb43d32bb0f95b8?size=webview,image/jpeg,StillImage,Photograph,http://creativecommons.org/licenses/by-nc/4.0/,"RSA - California Botanic Garden Herbarium (RSA-VascularPlants)",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,,urn:uuid:3c715d75-c02c-4601-bdb2-63845101212c,"2019-04-16 14:27:50",https://cch2.org/portal/collections/individual/index.php?occid=1228560,en
760145,https://api.idigbio.org/v2/media/60cb9e254aaf61d9b83cdb69cb7d2d0a,https://api.idigbio.org/v2/media/60cb9e254aaf61d9b83cdb69cb7d2d0a,https://api.idigbio.org/v2/media/60cb9e254aaf61d9b83cdb69cb7d2d0a?size=thumbnail,https://api.idigbio.org/v2/media/60cb9e254aaf61d9b83cdb69cb7d2d0a?size=webview,image/jpeg,StillImage,Photograph,http://creativecommons.org/licenses/by-nc/4.0/,"RSA - California Botanic Garden Herbarium (RSA-VascularPlants)",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,,urn:uuid:1a136380-2dad-4ee6-b58e-a8c661ecf0d6,"2019-04-16 14:27:50",https://cch2.org/portal/collections/individual/index.php?occid=760145,en
