"","kingdom","phylum","class","order","family","genus","species","decimalLatitude","decimalLongitude","year","month","day","source"
"1","Animalia","Chordata","Aves","Columbiformes","Columbidae","Zenaida","Zenaida macroura",37.61457,-118.83101,"2002","6","3","GBIF"
"2","Animalia","Chordata","Aves","Columbiformes","Columbidae","Zenaida","Zenaida macroura",37.61457,-118.83101,"2002","6","3","GBIF"
"3","Animalia","Chordata","Aves","Columbiformes","Columbidae","Zenaida","Zenaida macroura",37.61439,-118.8395,"2000","6","15","GBIF"
"4","Animalia","Chordata","Aves","Passeriformes","Vireonidae","Vireo","Vireo gilvus",37.61435,-118.83666,"2003","6","23","GBIF"
"5","Animalia","Chordata","Aves","Passeriformes","Vireonidae","Vireo","Vireo gilvus",37.61435,-118.83666,"2003","6","23","GBIF"
"6","Animalia","Chordata","Aves","Passeriformes","Vireonidae","Vireo","Vireo gilvus",37.61435,-118.83666,"2003","6","12","GBIF"
"7","Animalia","Chordata","Aves","Passeriformes","Vireonidae","Vireo","Vireo gilvus",37.61435,-118.83666,"2002","6","17","GBIF"
"8","Animalia","Chordata","Aves","Passeriformes","Vireonidae","Vireo","Vireo gilvus",37.61435,-118.83666,"2002","6","17","GBIF"
"9","Animalia","Chordata","Aves","Passeriformes","Vireonidae","Vireo","Vireo gilvus",37.61435,-118.83666,"2002","6","3","GBIF"
"10","Animalia","Chordata","Aves","Passeriformes","Vireonidae","Vireo","Vireo gilvus",37.61439,-118.8395,"1999","6","29","GBIF"
"11","Animalia","Chordata","Aves","Passeriformes","Vireonidae","Vireo","Vireo gilvus",37.61439,-118.8395,"1999","6","19","GBIF"
"12","Animalia","Chordata","Aves","Passeriformes","Vireonidae","Vireo","Vireo gilvus",37.61439,-118.8395,"1999","6","7","GBIF"
"13","Animalia","Chordata","Aves","Passeriformes","Vireonidae","Vireo","Vireo gilvus",37.61439,-118.8395,"1999","6","7","GBIF"
"14","Animalia","Chordata","Aves","Passeriformes","Vireonidae","Vireo","Vireo gilvus",37.61439,-118.8395,"1998","6","27","GBIF"
"15","Animalia","Chordata","Aves","Passeriformes","Vireonidae","Vireo","Vireo gilvus",37.61439,-118.8395,"1998","6","16","GBIF"
"16","Animalia","Chordata","Aves","Passeriformes","Vireonidae","Vireo","Vireo gilvus",37.61439,-118.8395,"1998","6","16","GBIF"
"17","Animalia","Chordata","Aves","Passeriformes","Parulidae","Leiothlypis","Leiothlypis celata",37.61457,-118.83101,"2002","6","3","GBIF"
"18","Animalia","Chordata","Aves","Passeriformes","Parulidae","Leiothlypis","Leiothlypis celata",37.61457,-118.83101,"2002","6","3","GBIF"
"19","Animalia","Chordata","Aves","Passeriformes","Parulidae","Leiothlypis","Leiothlypis celata",37.61435,-118.83666,"2002","6","3","GBIF"
"20","Animalia","Chordata","Aves","Passeriformes","Turdidae","Turdus","Turdus migratorius",37.61457,-118.83101,"2002","6","3","GBIF"
"21","Animalia","Chordata","Aves","Passeriformes","Turdidae","Turdus","Turdus migratorius",37.61435,-118.83666,"2003","6","23","GBIF"
"22","Animalia","Chordata","Aves","Passeriformes","Turdidae","Turdus","Turdus migratorius",37.61435,-118.83666,"2003","6","23","GBIF"
"23","Animalia","Chordata","Aves","Passeriformes","Turdidae","Turdus","Turdus migratorius",37.61435,-118.83666,"2002","6","3","GBIF"
"24","Animalia","Chordata","Aves","Passeriformes","Turdidae","Turdus","Turdus migratorius",37.61439,-118.8395,"2003","6","23","GBIF"
"25","Animalia","Chordata","Aves","Passeriformes","Turdidae","Turdus","Turdus migratorius",37.61439,-118.8395,"2003","6","12","GBIF"
"26","Animalia","Chordata","Aves","Passeriformes","Turdidae","Turdus","Turdus migratorius",37.61439,-118.8395,"2003","6","12","GBIF"
"27","Animalia","Chordata","Aves","Passeriformes","Turdidae","Turdus","Turdus migratorius",37.61439,-118.8395,"2002","6","3","GBIF"
"28","Animalia","Chordata","Aves","Passeriformes","Turdidae","Turdus","Turdus migratorius",37.61439,-118.8395,"2000","6","1","GBIF"
"29","Animalia","Chordata","Aves","Passeriformes","Turdidae","Turdus","Turdus migratorius",37.61439,-118.8395,"1998","6","27","GBIF"
"30","Animalia","Chordata","Aves","Passeriformes","Turdidae","Turdus","Turdus migratorius",37.61439,-118.8395,"1998","6","5","GBIF"
"31","Animalia","Chordata","Aves","Passeriformes","Turdidae","Turdus","Turdus migratorius",37.61439,-118.8395,"1998","6","5","GBIF"
"32","Animalia","Chordata","Aves","Passeriformes","Troglodytidae","Troglodytes","Troglodytes aedon",37.61457,-118.83101,"2003","6","23","GBIF"
"33","Animalia","Chordata","Aves","Passeriformes","Troglodytidae","Troglodytes","Troglodytes aedon",37.61457,-118.83101,"2003","6","12","GBIF"
"34","Animalia","Chordata","Aves","Passeriformes","Troglodytidae","Troglodytes","Troglodytes aedon",37.61457,-118.83101,"2002","6","17","GBIF"
"35","Animalia","Chordata","Aves","Passeriformes","Troglodytidae","Troglodytes","Troglodytes aedon",37.61457,-118.83101,"2002","6","17","GBIF"
"36","Animalia","Chordata","Aves","Passeriformes","Troglodytidae","Troglodytes","Troglodytes aedon",37.61457,-118.83101,"2002","6","3","GBIF"
"37","Animalia","Chordata","Aves","Passeriformes","Troglodytidae","Troglodytes","Troglodytes aedon",37.61448,-118.83383,"2003","6","23","GBIF"
"38","Animalia","Chordata","Aves","Passeriformes","Troglodytidae","Troglodytes","Troglodytes aedon",37.61435,-118.83666,"2003","6","23","GBIF"
"39","Animalia","Chordata","Aves","Passeriformes","Troglodytidae","Troglodytes","Troglodytes aedon",37.61435,-118.83666,"2003","6","23","GBIF"
