gbifID	accessRights	bibliographicCitation	language	license	modified	publisher	references	rightsHolder	type	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	recordedByID	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	caste	behavior	vitality	establishmentMeans	degreeOfEstablishment	pathway	georeferenceVerificationStatus	occurrenceStatus	preparations	disposition	associatedOccurrences	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOrganisms	previousIdentifications	organismRemarks	materialEntityID	materialEntityRemarks	verbatimLabel	materialSampleID	eventID	parentEventID	eventType	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	sampleSizeValue	sampleSizeUnit	samplingEffort	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	countryCode	stateProvince	county	municipality	locality	verbatimLocality	verbatimElevation	verticalDatum	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	verbatimIdentification	identificationQualifier	typeStatus	identifiedBy	identifiedByID	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	superfamily	family	subfamily	tribe	subtribe	genus	genericName	subgenus	infragenericEpithet	specificEpithet	infraspecificEpithet	cultivarEpithet	taxonRank	verbatimTaxonRank	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks	datasetKey	publishingCountry	lastInterpreted	elevation	elevationAccuracy	depth	depthAccuracy	distanceFromCentroidInMeters	issue	mediaType	hasCoordinate	hasGeospatialIssues	taxonKey	acceptedTaxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	subgenusKey	speciesKey	species	acceptedScientificName	verbatimScientificName	typifiedName	protocol	lastParsed	lastCrawled	repatriated	relativeOrganismQuantity	projectId	isSequenced	gbifRegion	publishedByGbifRegion	level0Gid	level0Name	level1Gid	level1Name	level2Gid	level2Name	level3Gid	level3Name	iucnRedListCategory
98405076				CC0_1_0									PRBO	PRBO-PC			OBSERVATION					UPOW6164PointCountVCP2515																	PRESENT																							2002-06-03		154	154	2002	6	3												NORTH_AMERICA				US	California			Convict Creek									37.61457	-118.83101																																																		Zenaida macroura (Linnaeus, 1758)								Animalia	Chordata	Aves	Columbiformes		Columbidae				Zenaida	Zenaida			macroura			SPECIES				ACCEPTED			864c8736-f762-11e1-a439-00145eb45e9a	US	2025-02-26T00:51:30.277Z						GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES		true	false	2495347	2495347	1	44	212	1446	5233	2495346		2495347	Zenaida macroura	Zenaida macroura (Linnaeus, 1758)	Zenaida macroura		DWC_ARCHIVE	2025-02-26T00:51:30.277Z	2025-02-26T00:30:58.863Z	false			false	NORTH_AMERICA	NORTH_AMERICA	USA	United States	USA.5_1	California	USA.5.26_1	Mono			LC
98405075				CC0_1_0									PRBO	PRBO-PC			OBSERVATION					UPOW6164PointCountVCP2512																	PRESENT																							2002-06-03		154	154	2002	6	3												NORTH_AMERICA				US	California			Convict Creek									37.61457	-118.83101																																																		Zenaida macroura (Linnaeus, 1758)								Animalia	Chordata	Aves	Columbiformes		Columbidae				Zenaida	Zenaida			macroura			SPECIES				ACCEPTED			864c8736-f762-11e1-a439-00145eb45e9a	US	2025-02-26T00:51:27.444Z						GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES		true	false	2495347	2495347	1	44	212	1446	5233	2495346		2495347	Zenaida macroura	Zenaida macroura (Linnaeus, 1758)	Zenaida macroura		DWC_ARCHIVE	2025-02-26T00:51:27.444Z	2025-02-26T00:30:58.863Z	false			false	NORTH_AMERICA	NORTH_AMERICA	USA	United States	USA.5_1	California	USA.5.26_1	Mono			LC
98405067				CC0_1_0									PRBO	PRBO-PC			OBSERVATION					UPOW6139PointCountFR50_IO87																	PRESENT																							2000-06-15		167	167	2000	6	15												NORTH_AMERICA				US	California			Convict Creek									37.61439	-118.8395																																																		Zenaida macroura (Linnaeus, 1758)								Animalia	Chordata	Aves	Columbiformes		Columbidae				Zenaida	Zenaida			macroura			SPECIES				ACCEPTED			864c8736-f762-11e1-a439-00145eb45e9a	US	2025-02-26T00:51:30.277Z						GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES		true	false	2495347	2495347	1	44	212	1446	5233	2495346		2495347	Zenaida macroura	Zenaida macroura (Linnaeus, 1758)	Zenaida macroura		DWC_ARCHIVE	2025-02-26T00:51:30.277Z	2025-02-26T00:30:58.863Z	false			false	NORTH_AMERICA	NORTH_AMERICA	USA	United States	USA.5_1	California	USA.5.26_1	Mono			LC
98379472				CC0_1_0									PRBO	PRBO-PC			OBSERVATION					UPOW6162PointCountVCP2549																	PRESENT																							2003-06-23		174	174	2003	6	23												NORTH_AMERICA				US	California			Convict Creek									37.61435	-118.83666																																																		Vireo gilvus (Vieillot, 1808)								Animalia	Chordata	Aves	Passeriformes		Vireonidae				Vireo	Vireo			gilvus			SPECIES				ACCEPTED			864c8736-f762-11e1-a439-00145eb45e9a	US	2025-02-26T00:51:29.702Z						GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES		true	false	2487446	2487446	1	44	212	729	9358	2487406		2487446	Vireo gilvus	Vireo gilvus (Vieillot, 1808)	Vireo gilvus		DWC_ARCHIVE	2025-02-26T00:51:29.702Z	2025-02-26T00:30:58.863Z	false			false	NORTH_AMERICA	NORTH_AMERICA	USA	United States	USA.5_1	California	USA.5.26_1	Mono			LC
98379471				CC0_1_0									PRBO	PRBO-PC			OBSERVATION					UPOW6162PointCountVCP25411																	PRESENT																							2003-06-23		174	174	2003	6	23												NORTH_AMERICA				US	California			Convict Creek									37.61435	-118.83666																																																		Vireo gilvus (Vieillot, 1808)								Animalia	Chordata	Aves	Passeriformes		Vireonidae				Vireo	Vireo			gilvus			SPECIES				ACCEPTED			864c8736-f762-11e1-a439-00145eb45e9a	US	2025-02-26T00:51:27.003Z						GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES		true	false	2487446	2487446	1	44	212	729	9358	2487406		2487446	Vireo gilvus	Vireo gilvus (Vieillot, 1808)	Vireo gilvus		DWC_ARCHIVE	2025-02-26T00:51:27.003Z	2025-02-26T00:30:58.863Z	false			false	NORTH_AMERICA	NORTH_AMERICA	USA	United States	USA.5_1	California	USA.5.26_1	Mono			LC
98379470				CC0_1_0									PRBO	PRBO-PC			OBSERVATION					UPOW6162PointCountVCP2536																	PRESENT																							2003-06-12		163	163	2003	6	12												NORTH_AMERICA				US	California			Convict Creek									37.61435	-118.83666																																																		Vireo gilvus (Vieillot, 1808)								Animalia	Chordata	Aves	Passeriformes		Vireonidae				Vireo	Vireo			gilvus			SPECIES				ACCEPTED			864c8736-f762-11e1-a439-00145eb45e9a	US	2025-02-26T00:51:31.002Z						GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES		true	false	2487446	2487446	1	44	212	729	9358	2487406		2487446	Vireo gilvus	Vireo gilvus (Vieillot, 1808)	Vireo gilvus		DWC_ARCHIVE	2025-02-26T00:51:31.002Z	2025-02-26T00:30:58.863Z	false			false	NORTH_AMERICA	NORTH_AMERICA	USA	United States	USA.5_1	California	USA.5.26_1	Mono			LC
98379469				CC0_1_0									PRBO	PRBO-PC			OBSERVATION					UPOW6162PointCountVCP2524																	PRESENT																							2002-06-17		168	168	2002	6	17												NORTH_AMERICA				US	California			Convict Creek									37.61435	-118.83666																																																		Vireo gilvus (Vieillot, 1808)								Animalia	Chordata	Aves	Passeriformes		Vireonidae				Vireo	Vireo			gilvus			SPECIES				ACCEPTED			864c8736-f762-11e1-a439-00145eb45e9a	US	2025-02-26T00:51:25.162Z						GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES		true	false	2487446	2487446	1	44	212	729	9358	2487406		2487446	Vireo gilvus	Vireo gilvus (Vieillot, 1808)	Vireo gilvus		DWC_ARCHIVE	2025-02-26T00:51:25.162Z	2025-02-26T00:30:58.863Z	false			false	NORTH_AMERICA	NORTH_AMERICA	USA	United States	USA.5_1	California	USA.5.26_1	Mono			LC
98379468				CC0_1_0									PRBO	PRBO-PC			OBSERVATION					UPOW6162PointCountVCP2523																	PRESENT																							2002-06-17		168	168	2002	6	17												NORTH_AMERICA				US	California			Convict Creek									37.61435	-118.83666																																																		Vireo gilvus (Vieillot, 1808)								Animalia	Chordata	Aves	Passeriformes		Vireonidae				Vireo	Vireo			gilvus			SPECIES				ACCEPTED			864c8736-f762-11e1-a439-00145eb45e9a	US	2025-02-26T00:51:29.702Z						GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES		true	false	2487446	2487446	1	44	212	729	9358	2487406		2487446	Vireo gilvus	Vireo gilvus (Vieillot, 1808)	Vireo gilvus		DWC_ARCHIVE	2025-02-26T00:51:29.702Z	2025-02-26T00:30:58.863Z	false			false	NORTH_AMERICA	NORTH_AMERICA	USA	United States	USA.5_1	California	USA.5.26_1	Mono			LC
98379467				CC0_1_0									PRBO	PRBO-PC			OBSERVATION					UPOW6162PointCountVCP25110																	PRESENT																							2002-06-03		154	154	2002	6	3												NORTH_AMERICA				US	California			Convict Creek									37.61435	-118.83666																																																		Vireo gilvus (Vieillot, 1808)								Animalia	Chordata	Aves	Passeriformes		Vireonidae				Vireo	Vireo			gilvus			SPECIES				ACCEPTED			864c8736-f762-11e1-a439-00145eb45e9a	US	2025-02-26T00:51:27.003Z						GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES		true	false	2487446	2487446	1	44	212	729	9358	2487406		2487446	Vireo gilvus	Vireo gilvus (Vieillot, 1808)	Vireo gilvus		DWC_ARCHIVE	2025-02-26T00:51:27.003Z	2025-02-26T00:30:58.863Z	false			false	NORTH_AMERICA	NORTH_AMERICA	USA	United States	USA.5_1	California	USA.5.26_1	Mono			LC
98379455				CC0_1_0									PRBO	PRBO-PC			OBSERVATION					UPOW6139PointCountFR50_IO68																	PRESENT																							1999-06-29		180	180	1999	6	29												NORTH_AMERICA				US	California			Convict Creek									37.61439	-118.8395																																																		Vireo gilvus (Vieillot, 1808)								Animalia	Chordata	Aves	Passeriformes		Vireonidae				Vireo	Vireo			gilvus			SPECIES				ACCEPTED			864c8736-f762-11e1-a439-00145eb45e9a	US	2025-02-26T00:51:25.162Z						GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES		true	false	2487446	2487446	1	44	212	729	9358	2487406		2487446	Vireo gilvus	Vireo gilvus (Vieillot, 1808)	Vireo gilvus		DWC_ARCHIVE	2025-02-26T00:51:25.162Z	2025-02-26T00:30:58.863Z	false			false	NORTH_AMERICA	NORTH_AMERICA	USA	United States	USA.5_1	California	USA.5.26_1	Mono			LC
