id,uuid,observed_on_string,observed_on,time_observed_at,user_id,user_login,user_name,created_at,quality_grade,url,image_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,taxon_kingdom_name,taxon_phylum_name,taxon_class_name,taxon_order_name,taxon_family_name,taxon_genus_name,taxon_species_name,taxon_subspecies_name
2086358,6c6b3558-b9c8-4c22-bd86-e0c9b1d925a4,2015-10-07 19:44:48,2015-10-07,2015-10-08 02:44:48 UTC,4918,faerthen,faerthen,2015-10-08 15:15:32 UTC,research,http://www.inaturalist.org/observations/2086358,https://inaturalist-open-data.s3.amazonaws.com/photos/2495876/medium.JPG,"",,2,0,false,,"Sierra Nevada Aquatic Research Lab, CA",37.613433,-118.831483,26,,,antelope brush,Purshia tridentata,Antelope Bitterbrush,Plantae,67804,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Purshia,Purshia tridentata,
2086363,1aba78cd-efe5-412d-98a9-b190451f29a6,2015-10-07 19:44:48,2015-10-07,2015-10-08 02:44:48 UTC,4918,faerthen,faerthen,2015-10-08 15:15:24 UTC,research,http://www.inaturalist.org/observations/2086363,https://inaturalist-open-data.s3.amazonaws.com/photos/2495882/medium.JPG,"",,1,0,false,,"Sierra Nevada Aquatic Research Lab, CA",37.613433,-118.831483,26,,,Common sagebrush,Artemisia tridentata,Big Sagebrush,Plantae,75598,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Artemisia,Artemisia tridentata,
2086366,8af98f67-5905-4cad-8675-882731b61cc4,2015-10-07 19:44:48,2015-10-07,2015-10-08 02:44:48 UTC,4918,faerthen,faerthen,2015-10-08 15:17:05 UTC,research,http://www.inaturalist.org/observations/2086366,https://inaturalist-open-data.s3.amazonaws.com/photos/2495886/medium.JPG,"",,1,0,false,,"Sierra Nevada Aquatic Research Lab, CA",37.613433,-118.831483,26,,,Rubber Rabbitbrush,Ericameria nauseosa,Rubber Rabbitbrush,Plantae,57934,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Ericameria,Ericameria nauseosa,
2086373,07c7e286-1521-4931-b81e-5d0b89428337,2015-10-07 19:44:48,2015-10-07,2015-10-08 02:44:48 UTC,4918,faerthen,faerthen,2015-10-08 15:17:48 UTC,research,http://www.inaturalist.org/observations/2086373,https://inaturalist-open-data.s3.amazonaws.com/photos/2495893/medium.JPG,"",,1,0,false,,"Sierra Nevada Aquatic Research Lab, CA",37.613433,-118.831483,26,,,Indian ricegrass,Eriocoma hymenoides,Sand Ricegrass,Plantae,1220378,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Eriocoma,Eriocoma hymenoides,
2086379,d14fa69c-261b-4bac-8a5b-dee1d5767d37,2015-10-07 19:44:48,2015-10-07,2015-10-08 02:44:48 UTC,4918,faerthen,faerthen,2015-10-08 15:18:37 UTC,research,http://www.inaturalist.org/observations/2086379,https://inaturalist-open-data.s3.amazonaws.com/photos/2495901/medium.JPG,"","",1,0,false,,"Sierra Nevada Aquatic Research Lab, CA",37.613275,-118.830979,26,,,narrowleaf willow,Salix exigua,Narrowleaf Willow,Plantae,59008,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Salicaceae,Salix,Salix exigua,
2086510,cfa152d9-4ee9-40d3-90b7-a3b198a03463,2015-10-07 02:44:00,2015-10-07,2015-10-07 09:44:00 UTC,4918,faerthen,faerthen,2015-10-08 16:07:50 UTC,research,http://www.inaturalist.org/observations/2086510,https://inaturalist-open-data.s3.amazonaws.com/photos/2496086/medium.JPG,"",,1,0,false,,"Sierra Nevada Aquatic Research Lab, CA",37.614061,-118.835603,26,,,Trembling Aspen,Populus tremuloides,quaking aspen,Plantae,54840,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Salicaceae,Populus,Populus tremuloides,
3470601,ee2d97ba-4532-413c-a320-de47dc0f977a,Mon Jun 13 2016 16:47:59 GMT-0700 (PDT),2016-06-13,2016-06-13 23:47:59 UTC,256546,gem2016_adriana,,2016-06-17 06:59:28 UTC,needs_id,http://www.inaturalist.org/observations/3470601,https://inaturalist-open-data.s3.amazonaws.com/photos/4032433/medium.jpg,"",Small,1,0,false,3,"901–1007 Mount Morrision Rd, Mammoth Lakes, CA, US",37.61398,-118.835495,,,,Short-horned Grasshoppers,Trimerotropis pallidipennis,Pallid-winged Grasshopper,Insecta,51493,Animalia,Arthropoda,Insecta,Orthoptera,Acrididae,Trimerotropis,Trimerotropis pallidipennis,
6136142,9c4e8832-0476-4dc5-ad3d-22c2d63192de,Sat May 06 2017 10:15:13 GMT-0700 (PDT),2017-05-06,2017-05-06 17:15:13 UTC,458953,edwin2494,,2017-05-08 04:57:35 UTC,needs_id,https://www.inaturalist.org/observations/6136142,https://static.inaturalist.org/photos/7686866/medium.jpg,"",,1,0,false,3,"93546, Mammoth Lakes, CA, US",37.615575,-118.846505,,,,Ants,Formicidae,Ants,Insecta,47336,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,,,
7536680,b59b7dc1-6723-4d62-b095-fd997076e942,Thu Aug 03 2017 20:45:31 GMT-0700 (PDT),2017-08-03,2017-08-04 03:45:31 UTC,547344,sarahkiser,,2017-08-18 00:05:25 UTC,needs_id,https://www.inaturalist.org/observations/7536680,https://static.inaturalist.org/photos/9831483/medium.jpg,"",,1,0,false,3,"Convict Lake Rd, Mammoth Lakes, CA, US",37.6124209229,-118.8458187207,1398,,,Sheepmoths,Hemileuca,Sheepmoths,Insecta,82145,Animalia,Arthropoda,Insecta,Lepidoptera,Saturniidae,Hemileuca,,
8271478,165765bd-ebec-4bd9-962d-0a3c29f37af7,Thu Oct 05 2017 11:35:54 GMT-0700 (PDT),2017-10-05,2017-10-05 18:35:54 UTC,104957,tomhothem,Tom Hothem,2017-10-05 18:48:39 UTC,needs_id,https://www.inaturalist.org/observations/8271478,https://inaturalist-open-data.s3.amazonaws.com/photos/10971428/medium.jpg,"",,3,0,false,3,"Deer Crk, Mammoth Lakes, CA, US",37.613575,-118.8314216667,,,,Common Stoneflies,Perlidae,Common Stoneflies,Insecta,154347,Animalia,Arthropoda,Insecta,Plecoptera,Perlidae,,,
8280955,449f8685-e701-4ec5-a0fa-659b62833b68,Thu Oct 05 2017 11:35:50 GMT-0700 (PDT),2017-10-05,2017-10-05 18:35:50 UTC,104957,tomhothem,Tom Hothem,2017-10-06 13:58:40 UTC,needs_id,https://www.inaturalist.org/observations/8280955,https://inaturalist-open-data.s3.amazonaws.com/photos/10983901/medium.jpg,"",,3,0,false,3,"Deer Crk, Mammoth Lakes, CA, US",37.613575,-118.8314216667,,,,"Alderflies, Dobsonflies, and Fishflies",Megaloptera,"Alderflies, Dobsonflies, and Fishflies",Insecta,47864,Animalia,Arthropoda,Insecta,Megaloptera,,,,
8298768,f3e24129-581e-4ef2-8d5f-d5eb470ce86b,2017-10-07 11:46:28 AM PDT,2017-10-07,2017-10-07 18:46:28 UTC,621095,jkelly8219,John,2017-10-07 18:50:25 UTC,needs_id,https://www.inaturalist.org/observations/8298768,https://inaturalist-open-data.s3.amazonaws.com/photos/11013613/medium.jpg,"",,0,0,false,2,"986 Mount Morrison Rd, Mammoth Lakes, CA 93546, USA",37.6136779785,-118.8315582275,,gps,gps,Ant,Formicidae,Ants,Insecta,47336,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,,,
8299331,816bb2c7-d7dc-4b64-aa1c-2fc85541ef24,2017-10-07 12:28:31 PM PDT,2017-10-07,2017-10-07 19:28:31 UTC,652840,wendylschneider,,2017-10-07 19:31:46 UTC,research,https://www.inaturalist.org/observations/8299331,https://inaturalist-open-data.s3.amazonaws.com/photos/11014705/medium.jpeg,"",SNARL 12 pm flowering and dying off,1,0,false,2,"986 Mount Morrison Rd, Mammoth Lakes, CA 93546, USA",37.61387909,-118.83165223,7,,,yellow rabbitbrush,Chrysothamnus viscidiflorus,Yellow Rabbitbrush,Plantae,76329,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Chrysothamnus,Chrysothamnus viscidiflorus,
8302275,ac281ab8-a198-4c7b-9d68-a1849a060e3a,Sat Oct 07 2017 12:31:30 GMT-0700 (PDT),2017-10-07,2017-10-07 19:31:30 UTC,656014,chipwood,,2017-10-07 22:48:04 UTC,research,https://www.inaturalist.org/observations/8302275,https://static.inaturalist.org/photos/11019863/medium.jpg,"",,1,0,false,3,"Mono County, UCNRS, US-CA, US",37.6137014665,-118.8315937669,5,,,rubber rabbitbrush,Ericameria nauseosa,Rubber Rabbitbrush,Plantae,57934,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Ericameria,Ericameria nauseosa,
