"","species","year","month","day","class_common","location","decimalLatitude","decimalLongitude","count_print"
"1","Zenaida macroura",2002,6,3,"Birds","In SNARL",37.61457,-118.83101,"111 species"
"2","Zenaida macroura",2002,6,3,"Birds","In SNARL",37.61457,-118.83101,"111 species"
"3","Zenaida macroura",2000,6,15,"Birds","Outside SNARL",37.61439,-118.8395,"210 species"
"4","Zenaida macroura",2001,6,6,"Birds","Outside SNARL",37.61307,-118.84561,"210 species"
"5","Zenaida macroura",2000,6,30,"Birds","Outside SNARL",37.60904,-118.84868,"210 species"
"6","Zenaida macroura",2000,6,30,"Birds","Outside SNARL",37.60904,-118.84868,"210 species"
"7","Vireo gilvus",2003,6,23,"Birds","In SNARL",37.61435,-118.83666,"111 species"
"8","Vireo gilvus",2003,6,23,"Birds","In SNARL",37.61435,-118.83666,"111 species"
"9","Vireo gilvus",2003,6,12,"Birds","In SNARL",37.61435,-118.83666,"111 species"
"10","Vireo gilvus",2002,6,17,"Birds","In SNARL",37.61435,-118.83666,"111 species"
"11","Vireo gilvus",2002,6,17,"Birds","In SNARL",37.61435,-118.83666,"111 species"
"12","Vireo gilvus",2002,6,3,"Birds","In SNARL",37.61435,-118.83666,"111 species"
"13","Vireo gilvus",2001,6,6,"Birds","Outside SNARL",37.60678,-118.84863,"210 species"
"14","Vireo gilvus",2000,6,30,"Birds","Outside SNARL",37.60678,-118.84863,"210 species"
"15","Vireo gilvus",2000,6,30,"Birds","Outside SNARL",37.60678,-118.84863,"210 species"
"16","Vireo gilvus",2000,6,15,"Birds","Outside SNARL",37.60678,-118.84863,"210 species"
"17","Vireo gilvus",2000,6,1,"Birds","Outside SNARL",37.60678,-118.84863,"210 species"
"18","Vireo gilvus",1999,6,29,"Birds","Outside SNARL",37.60678,-118.84863,"210 species"
"19","Vireo gilvus",1999,6,19,"Birds","Outside SNARL",37.60678,-118.84863,"210 species"
"20","Vireo gilvus",1999,6,7,"Birds","Outside SNARL",37.60678,-118.84863,"210 species"
"21","Vireo gilvus",1999,6,29,"Birds","Outside SNARL",37.61439,-118.8395,"210 species"
"22","Vireo gilvus",1999,6,19,"Birds","Outside SNARL",37.61439,-118.8395,"210 species"
"23","Vireo gilvus",1999,6,7,"Birds","Outside SNARL",37.61439,-118.8395,"210 species"
"24","Vireo gilvus",1999,6,7,"Birds","Outside SNARL",37.61439,-118.8395,"210 species"
"25","Vireo gilvus",1998,6,27,"Birds","Outside SNARL",37.61439,-118.8395,"210 species"
"26","Vireo gilvus",1998,6,16,"Birds","Outside SNARL",37.61439,-118.8395,"210 species"
"27","Vireo gilvus",1998,6,16,"Birds","Outside SNARL",37.61439,-118.8395,"210 species"
"28","Vireo gilvus",2001,6,20,"Birds","Outside SNARL",37.614,-118.84453,"210 species"
"29","Vireo gilvus",2001,6,6,"Birds","Outside SNARL",37.614,-118.84453,"210 species"
"30","Vireo gilvus",2002,6,17,"Birds","Outside SNARL",37.61307,-118.84561,"210 species"
"31","Vireo gilvus",2002,6,3,"Birds","Outside SNARL",37.61307,-118.84561,"210 species"
"32","Vireo gilvus",2000,6,30,"Birds","Outside SNARL",37.61307,-118.84561,"210 species"
"33","Vireo gilvus",1999,6,29,"Birds","Outside SNARL",37.61307,-118.84561,"210 species"
"34","Vireo gilvus",1998,6,5,"Birds","Outside SNARL",37.61307,-118.84561,"210 species"
"35","Vireo gilvus",2001,6,20,"Birds","Outside SNARL",37.61307,-118.84561,"210 species"
"36","Vireo gilvus",1998,6,27,"Birds","Outside SNARL",37.61145,-118.84792,"210 species"
"37","Vireo gilvus",2001,6,20,"Birds","Outside SNARL",37.61145,-118.84792,"210 species"
"38","Vireo gilvus",2001,6,20,"Birds","Outside SNARL",37.61145,-118.84792,"210 species"
"39","Vireo gilvus",2002,6,17,"Birds","Outside SNARL",37.60904,-118.84868,"210 species"
"40","Vireo gilvus",1999,6,29,"Birds","Outside SNARL",37.60904,-118.84868,"210 species"
"41","Vireo gilvus",1999,6,19,"Birds","Outside SNARL",37.60904,-118.84868,"210 species"
"42","Vireo gilvus",1998,6,27,"Birds","Outside SNARL",37.60904,-118.84868,"210 species"
"43","Vireo gilvus",2003,6,23,"Birds","Outside SNARL",37.60439,-118.8494,"210 species"
"44","Vireo gilvus",2003,6,12,"Birds","Outside SNARL",37.60439,-118.8494,"210 species"
"45","Vireo gilvus",2002,6,3,"Birds","Outside SNARL",37.60439,-118.8494,"210 species"
"46","Vireo gilvus",2002,6,3,"Birds","Outside SNARL",37.60439,-118.8494,"210 species"
"47","Vireo gilvus",2000,6,30,"Birds","Outside SNARL",37.60439,-118.8494,"210 species"
"48","Vireo gilvus",2000,6,15,"Birds","Outside SNARL",37.60439,-118.8494,"210 species"
"49","Vireo gilvus",1998,6,27,"Birds","Outside SNARL",37.60439,-118.8494,"210 species"
"50","Vireo gilvus",1998,6,27,"Birds","Outside SNARL",37.60439,-118.8494,"210 species"
"51","Vireo gilvus",1998,6,16,"Birds","Outside SNARL",37.60439,-118.8494,"210 species"
"52","Vireo gilvus",2001,6,20,"Birds","Outside SNARL",37.60439,-118.8494,"210 species"
"53","Vireo gilvus",1998,6,5,"Birds","Outside SNARL",37.60267,-118.8504,"210 species"
"54","Vireo gilvus",1998,6,5,"Birds","Outside SNARL",37.60267,-118.8504,"210 species"
"55","Vireo gilvus",2000,6,30,"Birds","Outside SNARL",37.60054,-118.84997,"210 species"
"56","Vireo gilvus",2000,6,1,"Birds","Outside SNARL",37.60054,-118.84997,"210 species"
"57","Vireo gilvus",1999,6,29,"Birds","Outside SNARL",37.60054,-118.84997,"210 species"
"58","Vireo gilvus",1998,6,27,"Birds","Outside SNARL",37.60054,-118.84997,"210 species"
"59","Vireo gilvus",1998,6,27,"Birds","Outside SNARL",37.60054,-118.84997,"210 species"
"60","Vireo gilvus",1998,6,16,"Birds","Outside SNARL",37.60054,-118.84997,"210 species"
"61","Vireo gilvus",1998,6,16,"Birds","Outside SNARL",37.60054,-118.84997,"210 species"
"62","Vireo gilvus",1998,6,5,"Birds","Outside SNARL",37.60054,-118.84997,"210 species"
"63","Vireo gilvus",1998,6,5,"Birds","Outside SNARL",37.60054,-118.84997,"210 species"
"64","Vireo gilvus",2001,6,20,"Birds","Outside SNARL",37.60054,-118.84997,"210 species"
"65","Vireo gilvus",2001,6,20,"Birds","Outside SNARL",37.60054,-118.84997,"210 species"
"66","Vireo gilvus",2001,6,6,"Birds","Outside SNARL",37.60054,-118.84997,"210 species"
"67","Vireo gilvus",2001,6,6,"Birds","Outside SNARL",37.60054,-118.84997,"210 species"
"68","Vireo gilvus",2003,6,23,"Birds","Outside SNARL",37.59803,-118.84868,"210 species"
"69","Vireo gilvus",2000,6,30,"Birds","Outside SNARL",37.59803,-118.84868,"210 species"
"70","Vireo gilvus",2000,6,15,"Birds","Outside SNARL",37.59803,-118.84868,"210 species"
"71","Vireo gilvus",2000,6,1,"Birds","Outside SNARL",37.59803,-118.84868,"210 species"
"72","Vireo gilvus",1999,6,29,"Birds","Outside SNARL",37.59803,-118.84868,"210 species"
"73","Vireo gilvus",1999,6,19,"Birds","Outside SNARL",37.59803,-118.84868,"210 species"
"74","Vireo gilvus",1999,6,7,"Birds","Outside SNARL",37.59803,-118.84868,"210 species"
"75","Vireo gilvus",1998,6,27,"Birds","Outside SNARL",37.59803,-118.84868,"210 species"
"76","Vireo gilvus",1998,6,16,"Birds","Outside SNARL",37.59803,-118.84868,"210 species"
"77","Vireo gilvus",1998,6,16,"Birds","Outside SNARL",37.59803,-118.84868,"210 species"
"78","Vireo gilvus",1998,6,5,"Birds","Outside SNARL",37.59803,-118.84868,"210 species"
"79","Vireo gilvus",2001,6,20,"Birds","Outside SNARL",37.59803,-118.84868,"210 species"
"80","Vireo gilvus",2002,6,17,"Birds","Outside SNARL",37.59612,-118.84848,"210 species"
"81","Vireo gilvus",2000,6,15,"Birds","Outside SNARL",37.59612,-118.84848,"210 species"
"82","Vireo gilvus",2000,6,15,"Birds","Outside SNARL",37.59612,-118.84848,"210 species"
"83","Vireo gilvus",2000,6,1,"Birds","Outside SNARL",37.59612,-118.84848,"210 species"
"84","Vireo gilvus",1999,6,19,"Birds","Outside SNARL",37.59612,-118.84848,"210 species"
"85","Vireo gilvus",1999,6,19,"Birds","Outside SNARL",37.59612,-118.84848,"210 species"
"86","Vireo gilvus",1998,6,5,"Birds","Outside SNARL",37.59612,-118.84848,"210 species"
"87","Vireo gilvus",2003,6,23,"Birds","Outside SNARL",37.59497,-118.85093,"210 species"
"88","Vireo gilvus",2003,6,23,"Birds","Outside SNARL",37.59497,-118.85093,"210 species"
"89","Vireo gilvus",2002,6,17,"Birds","Outside SNARL",37.59497,-118.85093,"210 species"
"90","Vireo gilvus",2002,6,3,"Birds","Outside SNARL",37.59497,-118.85093,"210 species"
"91","Vireo gilvus",2000,6,1,"Birds","Outside SNARL",37.59497,-118.85093,"210 species"
"92","Vireo gilvus",1999,6,19,"Birds","Outside SNARL",37.59497,-118.85093,"210 species"
"93","Vireo gilvus",2001,6,20,"Birds","Outside SNARL",37.59497,-118.85093,"210 species"
"94","Vireo gilvus",2001,6,6,"Birds","Outside SNARL",37.59497,-118.85093,"210 species"
"95","Leiothlypis celata",2002,6,3,"Birds","In SNARL",37.61457,-118.83101,"111 species"
"96","Leiothlypis celata",2002,6,3,"Birds","In SNARL",37.61457,-118.83101,"111 species"
"97","Leiothlypis celata",2002,6,3,"Birds","In SNARL",37.61435,-118.83666,"111 species"
"98","Leiothlypis celata",2002,6,17,"Birds","Outside SNARL",37.59803,-118.84868,"210 species"
"99","Leiothlypis celata",1999,6,7,"Birds","Outside SNARL",37.59497,-118.85093,"210 species"
"100","Turdus migratorius",2002,6,3,"Birds","In SNARL",37.61457,-118.83101,"111 species"
"101","Turdus migratorius",2003,6,23,"Birds","In SNARL",37.61435,-118.83666,"111 species"
"102","Turdus migratorius",2003,6,23,"Birds","In SNARL",37.61435,-118.83666,"111 species"
"103","Turdus migratorius",2002,6,3,"Birds","In SNARL",37.61435,-118.83666,"111 species"
"104","Turdus migratorius",2003,6,12,"Birds","Outside SNARL",37.60678,-118.84863,"210 species"
"105","Turdus migratorius",2003,6,12,"Birds","Outside SNARL",37.60678,-118.84863,"210 species"
"106","Turdus migratorius",2002,6,3,"Birds","Outside SNARL",37.60678,-118.84863,"210 species"
"107","Turdus migratorius",2002,6,3,"Birds","Outside SNARL",37.60678,-118.84863,"210 species"
"108","Turdus migratorius",2000,6,1,"Birds","Outside SNARL",37.60678,-118.84863,"210 species"
"109","Turdus migratorius",2003,6,23,"Birds","Outside SNARL",37.61439,-118.8395,"210 species"
"110","Turdus migratorius",2003,6,12,"Birds","Outside SNARL",37.61439,-118.8395,"210 species"
"111","Turdus migratorius",2003,6,12,"Birds","Outside SNARL",37.61439,-118.8395,"210 species"
"112","Turdus migratorius",2002,6,3,"Birds","Outside SNARL",37.61439,-118.8395,"210 species"
"113","Turdus migratorius",2000,6,1,"Birds","Outside SNARL",37.61439,-118.8395,"210 species"
"114","Turdus migratorius",1998,6,27,"Birds","Outside SNARL",37.61439,-118.8395,"210 species"
"115","Turdus migratorius",1998,6,5,"Birds","Outside SNARL",37.61439,-118.8395,"210 species"
"116","Turdus migratorius",1998,6,5,"Birds","Outside SNARL",37.61439,-118.8395,"210 species"
"117","Turdus migratorius",2003,6,23,"Birds","Outside SNARL",37.614,-118.84453,"210 species"
"118","Turdus migratorius",2000,6,15,"Birds","Outside SNARL",37.614,-118.84453,"210 species"
"119","Turdus migratorius",2000,6,1,"Birds","Outside SNARL",37.614,-118.84453,"210 species"
"120","Turdus migratorius",1998,6,5,"Birds","Outside SNARL",37.614,-118.84453,"210 species"
"121","Turdus migratorius",1998,6,5,"Birds","Outside SNARL",37.614,-118.84453,"210 species"
"122","Turdus migratorius",1999,6,19,"Birds","Outside SNARL",37.61307,-118.84561,"210 species"
"123","Turdus migratorius",1998,6,27,"Birds","Outside SNARL",37.61307,-118.84561,"210 species"
"124","Turdus migratorius",2003,6,23,"Birds","Outside SNARL",37.61145,-118.84792,"210 species"
"125","Turdus migratorius",1999,6,19,"Birds","Outside SNARL",37.61145,-118.84792,"210 species"
"126","Turdus migratorius",2002,6,3,"Birds","Outside SNARL",37.60904,-118.84868,"210 species"
"127","Turdus migratorius",2000,6,30,"Birds","Outside SNARL",37.60904,-118.84868,"210 species"
"128","Turdus migratorius",1999,6,29,"Birds","Outside SNARL",37.60904,-118.84868,"210 species"
"129","Turdus migratorius",1998,6,27,"Birds","Outside SNARL",37.60904,-118.84868,"210 species"
"130","Turdus migratorius",1998,6,27,"Birds","Outside SNARL",37.60904,-118.84868,"210 species"
"131","Turdus migratorius",2002,6,17,"Birds","Outside SNARL",37.60439,-118.8494,"210 species"
"132","Turdus migratorius",2000,6,30,"Birds","Outside SNARL",37.60439,-118.8494,"210 species"
"133","Turdus migratorius",2000,6,15,"Birds","Outside SNARL",37.60439,-118.8494,"210 species"
"134","Turdus migratorius",1999,6,29,"Birds","Outside SNARL",37.60439,-118.8494,"210 species"
"135","Turdus migratorius",1999,6,29,"Birds","Outside SNARL",37.60439,-118.8494,"210 species"
"136","Turdus migratorius",1998,6,5,"Birds","Outside SNARL",37.60439,-118.8494,"210 species"
"137","Turdus migratorius",1999,6,19,"Birds","Outside SNARL",37.60267,-118.8504,"210 species"
"138","Turdus migratorius",1998,6,27,"Birds","Outside SNARL",37.60267,-118.8504,"210 species"
"139","Turdus migratorius",1998,6,27,"Birds","Outside SNARL",37.60267,-118.8504,"210 species"
"140","Turdus migratorius",2001,6,20,"Birds","Outside SNARL",37.60267,-118.8504,"210 species"
