id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,higherClassification,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,subgenus,specificEpithet,verbatimTaxonRank,infraspecificEpithet,cultivarEpithet,tradeName,taxonRank,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,associatedCollectors,recordNumber,eventDate,eventDate2,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,behavior,vitality,fieldNumber,eventID,informationWithheld,dataGeneralizations,dynamicProperties,associatedOccurrences,associatedSequences,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,samplingProtocol,preparations,locationID,continent,waterBody,islandGroup,island,country,countryCode,stateProvince,county,municipality,locality,locationRemarks,localitySecurity,localitySecurityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey-dbpk,collID,recordID,references
2320946,CAS,BOT-BC,,PreservedSpecimen,urn:catalog:CAS:BOT-BC:123381,123381,urn:catalog:CAS:BOT:626,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Rosales|Rosaceae|Ivesia,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,"Ivesia shockleyi",23627,"S. Watson",Ivesia,,shockleyi,,,,,Species,"David D. Keck",1938,,,,,Isosyntype,"Shockley, William Hillman",,466,1886-07-21,,1886,7,21,202,,"July 21st, 1886","pre-1906 CAS accession #20901.",,,,,,,,,,,,,,,,,,,,,,,"North America",,,,"United States",US,California,"Mono County",,"White Mountains",,0,,37.622969,-118.239045,WGS84,1000,"37.6229690000, -118.2390450000",,"Geolocate (copied from UC90386)","Geolocate (copied from UC90386)",,,3962,,,,,"13000.0000000000 ft",,en,,"2010-01-20 10:26:04",urn:catalog:CAS:BOT-BC:123381,1,2804ca95-f918-4efc-8a86-44ae0c69de2f,https://cch2.org/portal/collections/individual/index.php?occid=2320946
2329890,CAS,BOT-BC,,PreservedSpecimen,urn:catalog:CAS:BOT-BC:123439,123439,urn:catalog:CAS:BOT:625,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Rosales,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,"Horkelia scandularis scandularis",,Rydb.,,,,,,,,,"David D. Keck",1938,,,,"vel aff.",Isotype,"Shockley, William Hillman",,572,1888-08-18,,1888,8,18,231,,"Aug. 18. '88","pre-1906 CAS accession #20909.","mountain meadows",,,,,,,,,,,,,,,,,,,,,,"North America",,,,"United States",US,California,"Mono County",,"White Mts.",,0,,37.61374,-118.237811,WGS84,10530,"37.6137400000, -118.2378110000",,"Geolocate (copied from JEPS31395)","Geolocate (copied from JEPS31395)",,,3658,,,,,"12000.0000000000 ft",,en,,"2010-01-12 14:47:27",urn:catalog:CAS:BOT-BC:123439,1,38aa33b9-ddcc-4b1c-9144-3a6dff17174f,https://cch2.org/portal/collections/individual/index.php?occid=2329890
2402227,CAS,BOT-BC,,PreservedSpecimen,urn:catalog:CAS:BOT-BC:27012,27012,urn:catalog:CAS:DS:314172,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Boechera,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,"Boechera bodiensis",11597,"(Rollins) Al-Shehbaz",Boechera,,bodiensis,,,,,Species,"M. Windham & I. Al-Shehbaz",,,,,"vel aff.",Isotype,"Wiggins, Ira Loren; Rollins, Reed Clark",,536,1945-08-03,,1945,8,3,215,,"Aug. 3, 1945","Stems numerous from densely tufted basal leaves. Annotation label from 2024: Haploid OTU inferred: cobrensis, fernaldiana, sparsiflora (1:1:1). Species name avaiable for plants with this genomic composition: Boechera bodiensis. M. D. Windham. Extract #: BOD59. Original det. as ""Arabis x sparsiflora var. subvillosa x A. fernaldiana var stylosa??"".","Loose soil of old mine.",,,,,,,,,,,,,,,,,,,,,,"North America",,,,"United States",US,California,"Mono County",,"2 miles NW of Masonic (5.9 mi. from Bridgeport -- Sweetwater highway).",,0,,38.3589,-119.1445,WGS84,600,"38.3589000000, -119.1445000000",,"GoogleMaps via BerkeleyMapper (copied from CAS331193)","GoogleMaps via BerkeleyMapper (copied from CAS331193)",,,2469,,,,,"8100.0000000000 ft",,en,,"2024-11-04 11:47:47",urn:catalog:CAS:BOT-BC:27012,1,16e90778-c3d4-454a-90cc-fdff31b55524,https://cch2.org/portal/collections/individual/index.php?occid=2402227
2414627,CAS,BOT-BC,,PreservedSpecimen,urn:catalog:CAS:BOT-BC:27134,27134,urn:catalog:CAS:DS:285103,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Asteranae|Boraginales|Hydrophyllaceae|Phacelia,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Hydrophyllaceae,"Phacelia peirsoniana",211393,Howell,Phacelia,,peirsoniana,,,,,Species,"W. R. Dudley",,,,,,Isotype,"Howell, John Thomas",,14353,1938-08-07,,1938,8,7,219,,"Aug. 7, 1938",,"in crevices of volcanic rocks under pinyons",,,,,,,,,,,,,,,,,,,,,,"North America",,,,"United States",US,California,"Mono County",,"near Little Round Valley",,0,,37.5653,-118.708,WGS84,3000,"37.5653000000, -118.7080000000",,"GoogleMaps via BerkeleyMapper (copied from NY57335)","GoogleMaps via BerkeleyMapper (copied from NY57335)",,,,,,,,,,en,,"2011-02-03 11:09:53",urn:catalog:CAS:BOT-BC:27134,1,f05d3354-4c60-45b2-b99f-a6139507cf0b,https://cch2.org/portal/collections/individual/index.php?occid=2414627
2618262,CAS,BOT-BC,,PreservedSpecimen,urn:catalog:CAS:BOT-BC:281232,281232,urn:catalog:CAS:BOT:1152107,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Lilianae|Poales|Cyperaceae|Carex,Plantae,Tracheophyta,Magnoliopsida,Poales,Cyperaceae,"Carex orestera",211163,Zika,Carex,,orestera,,,,,Species,,,,,,,Isotype,"Zika, P. F.; Matson, Steve",,25338,2010-08-11,,2010,8,11,223,,"11 August 2010","Cespitose, leaves blue-green.","dry sunny steep S-facing subalpine talus, over dark metamorphic hornfels bedrock",,,,,,,,,,,,,,,,,,,,,,"North America",,,,"United States",US,California,"Mono County",,"above NW end of Gardisky Lake, Inyo National Forest, central Sierra Nevada Highlands",,0,,37.9583333333,-119.255,,,"37° 57.5' N, 119° 15.3' W",,,,,,3250,,,,,"3250.0000000000 m",,en,,"2013-06-27 11:04:08",urn:catalog:CAS:BOT-BC:281232,1,b415ec6b-8e1f-4423-9cf3-b1dcab66961d,https://cch2.org/portal/collections/individual/index.php?occid=2618262
2404897,CAS,BOT-BC,,PreservedSpecimen,urn:catalog:CAS:BOT-BC:32709,32709,urn:catalog:CAS:DS:291886,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Asteranae|Asterales|Asteraceae|Chaenactis,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,"Chaenactis alpigena",202818,"C. W. Sharsm.",Chaenactis,,alpigena,,,,,Species,"C. W. Sharsmith",1947,,,,,Holotype,"Keck, David Daniels",,4395,1936-08-18,,1936,8,18,231,,"August 18, 1936","Prostrate mats. Corolla white, pappus reddish hyaline, anthers purplish. Rare, noted only in this one colony of a few square meters.","Growing in soil pockets between granite rocks on steep slope.",,,,,,,,,,,,,,,,,,,,,,"North America",,,,"United States",US,California,"Mono County",,"East flank of Mt. Conness, head of Slate Creek Valley, Harvey Monroe Hall Natural Area",,0,,37.9621,-119.3002,WGS84,900,"37.9621000000, -119.3002000000",,"GoogleMaps via BerkeleyMapper","GoogleMaps via BerkeleyMapper",,,3260,,,,,"3260.0000000000 m",,en,,"2010-08-03 09:38:48",urn:catalog:CAS:BOT-BC:32709,1,6d753ffa-3f31-4cde-99dc-d4215eff7617,https://cch2.org/portal/collections/individual/index.php?occid=2404897
2435588,CAS,BOT-BC,,PreservedSpecimen,urn:catalog:CAS:BOT-BC:32776,32776,urn:catalog:CAS:BOT:248449,"Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Asteranae|Asterales|Asteraceae|Chrysothamnus|Chrysothamnus nauseosus",Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,"Chrysothamnus nauseosus var. albicaulis",266263,"(Nutt.) Rydb.",Chrysothamnus,,nauseosus,var.,albicaulis,,,Morph,"Loran C. Anderson",1976-11,,,,"vel aff.",Holotype,"Rose, Lewis Samuel",,37684,1937-09-28,,1937,9,28,271,,"Sept. 28, 1937",,,,,,,,,,,,,,,,,,,,,,,,"North America",,,,"United States",US,California,"Mono County",,"6 miles E of summit of Sonora Pass",,0,,38.3265,-119.5585,WGS84,600,"38.3265000000, -119.5585000000",,"GoogleMaps via BerkeleyMapper","GoogleMaps via BerkeleyMapper",,,2256,,,,,"7400.0000000000 ft",,en,,"2010-07-14 14:44:55",urn:catalog:CAS:BOT-BC:32776,1,9acba2b3-d20c-4bbd-84c4-d5c925abd18a,https://cch2.org/portal/collections/individual/index.php?occid=2435588
2340934,CAS,BOT-BC,,PreservedSpecimen,urn:catalog:CAS:BOT-BC:33334,33334,urn:catalog:CAS:DS:313159,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Draba,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,"Draba quadricostata",17606,Rollins,Draba,,quadricostata,,,,,Species,,,,,,,Isotype,"Alexander, Annie Montague; Kellogg, L.",,4543,1945-07-28,,1945,7,28,209,,"July 28, 1945","More common than on New York Hill.",,,,,,,,,,,,,,,,,,,,,,,"North America",,,,"United States",US,California,"Mono County",,"On road to Bodie, 2 miles SW of Masonic Spring, southeast flank of Masonic Mountain",,0,,38.335,-119.1212,WGS84,650,"38.3350000000, -119.1212000000",,"GoogleMaps via BerkeleyMapper","GoogleMaps via BerkeleyMapper",,,2621,,,,,"8600.0000000000 ft",,en,,"2010-05-27 14:06:37",urn:catalog:CAS:BOT-BC:33334,1,ce96ef85-8d5e-4be3-b24a-fe8160a06720,https://cch2.org/portal/collections/individual/index.php?occid=2340934
2399269,CAS,BOT-BC,,PreservedSpecimen,urn:catalog:CAS:BOT-BC:33335,33335,urn:catalog:CAS:DS:95030,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Draba,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,"Draba subsessilis",17639,"S. Watson",Draba,,subsessilis,,,,,Species,"Ihsan A. Al-Shehbaz",2007-12,,,,"vel aff.",Isotype,"Shockley, William Hillman",,455,1886-07-00,,1886,7,0,,,"July 1886",,,,,,,,,,,,,,,,,,,,,,,,"North America",,,,"United States",US,California,"Mono County",,"Summit White Mts. Mono Cy., Calif.",,0,,37.622969,-118.239045,WGS84,1000,"37.6229690000, -118.2390450000",,"Geolocate (copied from UC90386)","Geolocate (copied from UC90386)",,,3962,,,,,"13000.0000000000 ft",,en,,"2010-05-27 15:48:56",urn:catalog:CAS:BOT-BC:33335,1,8bb572f0-fb67-48b9-8c7b-fc3b1e595ccf,https://cch2.org/portal/collections/individual/index.php?occid=2399269
2387255,CAS,BOT-BC,,PreservedSpecimen,urn:catalog:CAS:BOT-BC:33884,33884,urn:catalog:CAS:DS:307371,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Streptanthus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,"Streptanthus oliganthus",32638,Rollins,Streptanthus,,oliganthus,,,,,Species,"Ihsan A. Al-Shehbaz",2007-12,,,,,Holotype,"Wiggins, Ira L.; Rollins, Reed Clark",,535,1945-08-03,,1945,8,3,215,,"Aug. 3, 1945","2 images; 2nd image with protologue folded back.","on rocky slopes",,,,,,,,,,,,,,,,,,,,,,"North America",,,,"United States",US,California,"Mono County",,"2 miles NW of Masonic, north of Masonic Peak",,0,,38.3589,-119.1445,WGS84,600,"38.3589000000, -119.1445000000",,"GoogleMaps via BerkeleyMapper (copied from CAS331193)","GoogleMaps via BerkeleyMapper (copied from CAS331193)",,,2469,,,,,"8100.0000000000 ft",,en,,"2010-04-13 11:37:11",urn:catalog:CAS:BOT-BC:33884,1,2eb3831c-a010-4f25-93b1-6f4a256576c2,https://cch2.org/portal/collections/individual/index.php?occid=2387255
